Avg Area Income,Avg Area House Age,Avg Area Number of Rooms,Avg Area Number of Bedrooms,Area Population,Price
79545.45857431678,5.682861321615587,7.009188142792237,4.09,23086.800502686456,1059033.5578701235
79248.64245482568,6.0028998082752425,6.730821019094919,3.09,40173.07217364482,1505890.91484695
61287.067178656784,5.865889840310001,8.512727430375099,5.13,36882.15939970458,1058987.9878760849
63345.24004622798,7.1882360945186425,5.586728664827653,3.26,34310.24283090706,1260616.8066294468
59982.19722570803,5.040554523106283,7.839387785120487,4.23,26354.109472103148,630943.4893385402
80175.7541594853,4.9884077575337145,6.104512439428879,4.04,26748.428424689715,1068138.0743935304
64698.46342788773,6.025335906887152,8.147759585023431,3.41,60828.24908540716,1502055.8173744078
78394.33927753085,6.9897797477182815,6.620477995185026,2.42,36516.358972493836,1573936.5644777215
59927.66081334963,5.36212556960358,6.3931209805509015,2.3,29387.39600281585,798869.5328331633
81885.92718409566,4.423671789897876,8.167688003472351,6.1,40149.96574921337,1545154.8126419624
80527.47208292288,8.09351268063935,5.042746799645982,4.1,47224.359840221914,1707045.722158058
50593.69549704281,4.496512793097035,7.467627404008019,4.49,34343.991885578806,663732.3968963273
39033.80923698237,7.671755372854428,7.250029317273495,3.1,39220.36146737246,1042814.0978200928
73163.6634410467,6.919534825456555,5.9931879009455695,2.27,32326.123139488096,1291331.5184858206
69391.3801843616,5.344776176735725,8.406417714534253,4.37,35521.294033173246,1402818.2101658515
73091.86674582321,5.443156466535474,8.517512711137975,4.01,23929.524053267953,1306674.6599511993
79706.96305765743,5.067889591058972,8.219771123286257,3.12,39717.81357630952,1556786.6001947748
61929.07701808926,4.788550241805888,5.0970095543775615,4.3,24595.90149782299,528485.2467305964
63508.19429942997,5.947165139552473,7.187773835329728,5.12,35719.653052030866,1019425.9367578316
62085.276403404874,5.739410843630574,7.09180810424997,5.49,44922.106702293066,1030591.4292116085
86294.99908871058,6.627456939781737,8.011897853150563,4.07,47560.77533629521,2146925.339888662
60835.089978853975,5.551221591990328,6.517175038094777,2.1,45574.74166225795,929247.5995364
64490.65026675508,4.210322870054841,5.478087730769143,4.31,40358.96010561757,718887.2315009277
60697.35153944832,6.1704840908385,7.150536572335959,6.34,28140.96708772475,743999.8191601974
59748.85548697423,5.3393398807459,7.7486816056065955,4.23,27809.986543758896,895737.1333835076
56974.47653879643,8.287562193759008,7.312879971463007,4.33,40694.86951302233,1453974.5059508719
82173.62607584603,4.018524684942813,6.992698756791841,2.03,38853.91806648168,1125692.507295288
64626.88097813548,5.443359590192101,6.98875353866204,4.0,27784.742280185877,975429.4927929222
90499.0574513475,6.3843589207152025,4.242191301572632,3.04,33970.16499037125,1240763.765571478
59323.79209970036,6.9778279401788375,8.273697077776598,4.07,37520.65773244972,1577017.7600015546
77811.52203457447,5.31446021480662,6.686686133004718,3.24,33754.737804984616,1246830.1884286287
68652.60921090658,6.124342100310332,6.290820166996657,4.42,39355.625729470295,1170720.893654292
55041.35158333917,7.127128552732308,8.591923294114,5.36,30122.473483557947,1071279.210244544
50218.70846300072,6.118808130610341,7.333554072097738,6.29,16810.783311257936,534305.1323349292
55909.322295153535,5.419562910682705,9.289854372258821,6.0,22355.235406669122,936368.9634048606
74372.81020915511,5.500128572841659,6.593045603910363,2.07,39395.15118232914,1199193.8313295112
78667.90459764737,5.470652206754396,7.780836692853298,4.1,27637.656548218994,1233220.009477811
78699.51510291034,5.6527836365363004,6.756453856250772,3.01,22836.60756949132,1081150.1254838074
53128.18544891443,5.180664124823801,5.4269028586106165,2.39,32947.711955068946,524712.7660674525
17796.631189543397,4.9495570055571125,6.713905444702088,2.5,47162.183643191434,302355.83597895555
58566.84936342057,6.5796914528777375,5.034525351903061,2.17,39705.4649593564,1026817.399788458
75537.79451000034,7.8452159144441715,7.5556607208222175,6.3,32778.1953418883,1762214.6795818857
46147.053056343386,6.623332829320711,7.606831549667412,4.43,27161.12860794621,882057.1705928424
70421.4764876077,6.9070829699853125,7.634318731446652,4.44,43183.92848788104,1744932.210990927
62614.420619127326,5.499309697116084,7.440505217892157,6.32,26888.57956293911,1153871.4695016337
66394.87158584829,7.069512153837191,7.204639709248285,3.18,39741.07750943353,1499988.8795226102
73946.85107397818,4.863154306054972,7.537182365353192,6.35,35261.12701836895,1109588.380162506
69144.74570743984,7.296224496862651,5.928223472951473,3.22,19030.6154867746,980177.3051371257
77278.69702818657,6.238891014754013,6.919204136372873,2.13,21725.95428963467,1323952.027425176
86754.1966286121,6.604439818568124,6.252454805349369,4.02,43017.440757153636,1662494.7355443896
74399.84098191423,6.382452912235433,7.252665322385219,6.36,41084.6628246322,1417819.740218086
49408.198340144314,5.825920475606762,5.831738972572462,3.32,26881.130597967134,549976.1455595789
62279.79005157392,6.108449991281682,6.306116349848911,4.12,35263.65313745236,1054770.980647526
73078.20408561832,5.923906389599877,6.445456690525836,3.32,54915.96178198404,1415647.553437237
72942.70505913401,4.786222295086708,7.319885530125552,6.41,24377.909049316557,948788.2757094484
63819.62285114139,5.949839470643138,8.022469239326934,4.09,27825.57206129437,1159596.518619623
73265.44988790638,8.314761978982546,7.4255974600340915,3.24,21030.96617717162,1547133.3964004475
68488.13117301985,6.116111748260705,7.182527480002909,5.08,18267.954705638844,1186688.505938349
55193.857453150056,7.186120666999298,5.096917456207575,4.01,32537.81876891801,772111.9721021006
77434.68924044503,6.309271353146576,5.219754029195479,3.06,36252.34068234427,1172730.1557693179
66158.88158501312,4.476429066464847,6.91174261004152,2.28,37098.74217235172,1111085.0168910609
